checkpoint,mse,mae,action_0_mae,action_0_mse,action_1_mae,action_1_mse,action_2_mae,action_2_mse,action_3_mae,action_3_mse,action_4_mae,action_4_mse,action_5_mae,action_5_mse,action_6_mae,action_6_mse
checkpoint_step_1000.pt,0.6454484671991166,0.5958748497138494,0.5069181152669314,0.43683951501899115,0.4366763847543293,0.328121737244117,0.6856581472924778,0.7540967739963912,0.38819352607858104,0.22713843430934036,0.5098344642606597,0.3846237786780557,0.47006421156127803,0.33420715524718847,1.1737790987826884,2.053111875899732
checkpoint_step_2000.pt,0.3712053189513356,0.4310673622430031,0.43496711794203813,0.2886119688743826,0.36554532603976053,0.19928788608809095,0.5475405120881207,0.4436672777789934,0.22269734617804976,0.09043605480212288,0.26808653396221677,0.10542117422957846,0.20796415115041395,0.06827040268889438,0.9706705483404221,1.4027424681972864
checkpoint_step_3000.pt,0.31762214392132637,0.37974234276522445,0.34661002334573177,0.18106632058002275,0.2988730564397494,0.15149150654141835,0.522832581088213,0.4319483158797536,0.2015388857353329,0.06597005184018896,0.19799905649698174,0.05606204418612394,0.20438041436436052,0.06689044891481133,0.8859623818862019,1.2699263195069657
checkpoint_step_4000.pt,0.34855235119557226,0.3973264506673417,0.32589686743948343,0.18148079115500684,0.3103180990853746,0.16087379392629317,0.5958578257401574,0.5144162296856902,0.1987292144306204,0.055314108508376605,0.1685731403031553,0.041737229884520624,0.20852300653209177,0.07625178964088307,0.9733870011405088,1.4097925155682347
checkpoint_step_5000.pt,0.31015929579111123,0.39451106319435325,0.4920037810166832,0.34591768177989396,0.2767174335046937,0.11612423707341968,0.6007905709310892,0.5195338746896045,0.1947881427061345,0.05522238428251005,0.19609369042171498,0.05268098870817228,0.18356988332699983,0.05780771495622876,0.8176139404531568,1.0238281890479493
checkpoint_step_6000.pt,0.20368600229235656,0.31014218143271205,0.3038471482444688,0.14104342264741343,0.2652422705565446,0.10376169287540438,0.44336993044957385,0.3302838144175623,0.13657758192595792,0.035942252992778284,0.1503170652807291,0.03889277896144512,0.1670717257853331,0.04283891729626813,0.7045695477863774,0.7330391368556244
checkpoint_step_7000.pt,0.241870361711023,0.35003506492542424,0.44948856878036164,0.28698736076270526,0.24560469698127627,0.09537862316217745,0.5381280124678077,0.4684908428098766,0.1653993070224117,0.0470139511016935,0.18218974785047715,0.04930163584369095,0.18935277398609154,0.054804343243222885,0.6800823473895434,0.6911157750537944
checkpoint_step_8000.pt,0.2203144810428024,0.3344170336448825,0.3413507582528317,0.18669719004542135,0.26894681540683707,0.10643283491340129,0.5444795942919362,0.4333999485650476,0.16406501002351953,0.04392924894210267,0.16110899721646482,0.03797554906361966,0.2003260987516426,0.061868060506760865,0.6606419615709456,0.6718985352632636
checkpoint_step_9000.pt,0.2114880577078137,0.3285372729667306,0.49969965635433,0.3270228113820133,0.23326931666981962,0.08866211331799201,0.49574944566453005,0.40967905181887476,0.15469314248484028,0.037639159510403725,0.17660479448386468,0.055582096343300344,0.19446423186230408,0.06665840841939183,0.5452803232474253,0.4951727631627195
checkpoint_final.pt,0.20201643677644668,0.31071308439499784,0.4153016446037717,0.2602196244803039,0.21036068286214554,0.0712228707637797,0.5295730919494027,0.44434771139669166,0.15394211937126653,0.042233639620966025,0.16087869626968831,0.04241580832189667,0.16174535530457174,0.0461476321398004,0.5431900004041381,0.5075277707116881
